Id,Property,en-US,zh-Hans,zh-Hant,ru-RU,uk-UA
_AccountRefreshFailedTitle,,Failed to refresh account,刷新帐户失败,刷新帳戶失敗,Не удалось обновить аккаунт,Не вдалося оновити акаунт
_AccountRefreshFailedDescription,,The account has expired and you need to log in again or cannot connect to the server due to network problems,该账户已过期需重新登录或因网络问题导致无法连接服务器,該賬戶已過期需重新登錄或因網絡問題導致無法連接服務器,"Срок действия аккаунта истёк, необходимо повторить вход. Возможно не удаётся подключиться к серверу из-за проблем с сетью.","Термін дії акаунта закінчився, необхідно повторити вхід. Можливо не вдається підключитися до сервера через проблеми з мережею."
_AccountRefreshedTitle,,Successfully refreshed Account,账户刷新成功,賬戶刷新成功,Аккаунт успешно обновлён,Акаунт успішно оновлено
_AccountRefreshedDescription,,"Welcome back, ${name}",欢迎回来，${name},歡迎回來，${name},"С возвращением, ${name}","З поверненням, ${name}"
_AddOfficiaFolderExistedT,,Already added the official Minecraft Launcher data folder,已添加官方 Minecraft Launcher 数据文件夹,已添加官方 Minecraft Launcher 數據文件夾,Папка данных из оффициального лаунчера Minecraft уже добавлена.,Папка даних з офіційного лаунчера Minecraft вже додана.
_AddOfficiaFolderExistedD,,${path} has already been added.,${path} 已添加。,${path} 已添加。,Путь ${path} добавлен.,Шлях ${path} додано.
_AddOfficialFolderNotExistT,,Cannot add the official Minecraft Launcher data folder,无法添加官方 Minecraft Launcher 数据文件夹,無法添加官方 Minecraft Launcher 數據文件夾,Невозможно добавить папку данных из оффициального лаунчера Minecraft.,Неможливо додати папку даних з офіційного лаунчера Minecraft.
_AddOfficialFolderNotExistD,,${path} does not exist.,${path} 不存在。,${path} 不存在。,Пути ${path} не существует.,Шляху ${path} не існує.
_AddOfficiaFolderAddedT,,Official Minecraft Launcher data folder added,添加了官方 Minecraft 启动器数据文件夹,添加了官方 Minecraft 啟動器數據文件夾,Папка данных из оффициального лаунчера Minecraft добавлена.,Папка даних з офіційного лаунчера Minecraft додана.
_AddOfficiaFolderAddedD,,${path} has been added to Fluent Launcher.,${path} 已添加到 Fluent Launcher。,${path} 已添加到 Fluent Launcher。,Путь ${path} добавлен в Fluent Launcher.,Шлях ${path} додано до Fluent Launcher.
_AddFolderExistedT,,Failed to add the folder,添加文件夹失败,添加文件夾失敗,Не удалось добавить папку,Не вдалося додати папку
